,content_time,star,comment-content
13,2020-12-05 01:30:02,很差,嬴政都要跟吕不韦私奔了，还有脸吹历史正剧，是梁静茹给你的勇气？？？
14,2020-12-03 15:58:41,很差,张鲁一太没祖龙皇帝气质了吧，演技拉胯
15,2020-12-02 22:38:32,较差,真的不如前几部。还有张鲁一演技没问题但是缺少秦王嬴政的霸气。吕不韦段奕宏选的好演的也好
16,2020-12-05 00:24:01,很差,嬴政演成这样，我是没有想到的！
17,2020-12-02 12:19:02,很差,有零星吗，给一星都是抬举这剧了。编剧还是看会书吧
18,2020-12-04 12:00:39,很差,13岁？
19,2020-12-04 18:03:31,较差,服化道都还凑合，非得让一个四十的去演14的？这特么谁能看进去？编剧就是吃了s一样，围绕一个身世的八卦问题，在哪里逼逼赖赖个不停，公子疾和赵姬讨论了一天一夜？？？大家正怀疑的时候吕不韦开口来个政儿？？？嬴政不问赢异人去跟吕不韦双宿双飞？？？这编剧是吃了多少S？故意制造八卦，你家祖传八卦业出身？5，6分见。
0,2020-12-05 03:56:36,较差,我大中华没演员了吗？让浑身透着怂的二哥演始皇？还有那朱珠
1,2020-12-09 00:56:47,很差,"第一次给了五分(改分）艹甘罗这个死我真的不能忍了,这个剧不配得到5分,历史剧就好好按历史剧拍好吗,这个剧把嬴政描绘的像个傻逼,我要弃剧了(再次改分）第三次改分了,今天看到嬴政娶双妃,彻底弃剧了,实在是无力吐槽,什么狗屁玩意儿,辛亏没有叫大秦帝国,简直是辱前两部了,望周知,这就是一部宫斗加恋爱的爽剧,权谋的成分基本🈚,演的嬴政就知道天天喊口号要统一,但是自己讲不出什么谋略出来,而且动不动突然杀人,真就像精神分裂症一样。全篇白话,跟第一二部台词差了十万八千里,把吕不韦和嬴政给毁了。对大秦赋感到特别失望,不知道是什么原因把剧魔改成这样的,希望资本能明白剧本的重要性不要乱改剧本了。"
2,2020-12-03 14:53:03,很差,张鲁一为什么秦始皇？？？？？？13岁也演？心里没数吗？？？？？眼睛好疲惫，毫无气势，一看到就拉胯😒
3,2020-12-04 07:33:51,很差,满屏的尴尬
4,2020-12-04 11:36:13,较差,我是做错了什么看这部剧？我还是回去看崛起吧！🤯🤯
5,2020-12-04 02:12:15,很差,"天啊，下滑得也太多了吧。这糟糕的台词，这糟糕的赵姬，这糟糕的节奏，这糟糕的颜色, 真的和前三部不在一个水平，甚至都不像一个系列了。"
6,2020-12-02 14:40:30,较差,第一集 4.0这服化道也太假了吧 少拍几集用在该用的地方吧
7,2020-12-04 07:10:25,较差,假就一个字
8,2020-12-03 23:52:19,很差,观望了好几天才来评价，骂自己“连自己生父是谁都不知道的畜生”的秦始皇，我真的想问这个选角和塑造真的不怕始皇帝来找你们吗？这对比第一部第二部太拉胯了
9,2020-12-04 23:14:56,很差,太烂了，对得起前三部么，毁了这么好的原著
10,2020-12-05 08:52:22,很差,人物关系设置别扭，台词不符合人物的身份和动机。故事说到底是要讲逻辑，讲节奏的，二者不对，只能泄气和出戏。
11,2020-12-02 11:35:23,很差,学人拍历史剧？自己就在家编？硬编？真当戏说在写？第一集就弃了，马车逃跑那段宛如儿戏，非得把马整死步行，你们三骑马不行？看第一集我就知道工具人秦异人、醪毐戏不少，史书上没有的事就自己编。强行宫斗、强行腹黑华阳夫人和主角对立？至于对白台词有多水，初中以上文化的人都看的出来吧，和前三部高下立判，那才是中华文化！
12,2020-12-04 21:56:29,较差,这部剧真的只有战斗场面能看了，文戏一塌糊涂，刚开播和我爸兴奋死了 坐一起看，就想着能有前几部的质感，结果真的一路崩坏，到11，12集简直绝了，嬴政身份不说了，就这个剧情逻辑简直崩坏。赵姬和大伯谈了一天一夜就是一直自我洗脑当皇帝苦然后放弃了！？夏太后白天出宫找丞相就再也没出现了？晚上走的嬴政都比他到的早，有什么意义这一段？勤王救驾还要休息等到明天辰时？不怕晚上王就驾崩了吗？简直了，祖龙看了都要从墓里跳出来杀人
13,2020-12-05 09:39:50,较差,这开分真的是靠前两部的情怀才冲这么高的，太差劲了。你标榜历史正剧总得拿历史正剧的标准要求自己吧?
14,2020-12-04 08:25:45,较差,前几部任何一个秦王拿过来都比这个好，还有这个台词怎么回事？？
15,2020-12-05 00:49:31,很差,收尾之作搞成这样真的是一言难尽，张鲁一实在没有扫六合的霸气，弃了。
16,2020-12-05 02:49:15,较差,老秦人了，这部最让人无语，选角奇奇怪怪，段奕宏演的吕不韦形容猥琐，张鲁一的13岁嬴政让人吐槽无力，辛柏青的庄襄王还不错，两分是为了情怀
17,2020-12-04 20:18:07,较差,男主真的太老了吧，而且也没有演技拯救皮相啊！！！
18,2020-12-04 03:19:11,较差,跟宁静张博版大秦系列差八条街！垃圾导演、剪辑！服化道一星！演员阵容（非演技，浪费）一星
19,2020-12-04 22:33:45,很差,说自己是畜生的秦始皇？还要和吕不韦浪迹天涯的秦始皇？？瞎编乱造的大烂剧
0,2020-12-05 00:49:31,很差,收尾之作搞成这样真的是一言难尽，张鲁一实在没有扫六合的霸气，弃了。
1,2020-12-04 22:33:45,很差,说自己是畜生的秦始皇？还要和吕不韦浪迹天涯的秦始皇？？瞎编乱造的大烂剧
2,2020-12-04 22:05:44,很差,尊重下祖龙年龄好嘛，13岁长了张50的脸？(我后悔了，本来打三星，今天那个脸吓得我只能打一星)
3,2020-12-04 10:37:54,较差,本来是打算四星的，以前几部还不错，但这部确定不是拿观众当傻子吗？13岁的赢政长着40岁的脸，蒙谁呢！
4,2020-12-05 02:32:56,较差,张鲁一演嬴政太不合适了！尤其是演十几岁的，我瞎了！
5,2020-12-03 13:15:33,很差,兴致勃勃追看了几集，节奏真的很差啊…………选角也很不合适，这分也太虚高了。砸破了央视地盘吧，播啥都破1的，这剧看野榜0.6
6,2020-12-03 11:10:58,很差,剧组有钱了，演员剧情都不行了....
7,2020-12-14 01:13:23,很差,《国家宝藏》里富大龙13分钟的秦始皇吊打张鲁一！
8,2020-12-01 21:04:25,力荐,一直觉得中华文化思想的核心部分来自于大秦，大一统思想，是后世千年来秉承的对外观念。献公攻魏，孝公变法，惠文王定东出国策，武王破宜阳平巴蜀，昭襄王铲除山东六国主力，庄襄王灭东周，始皇帝扫六合。六世明君，天下独此一家。唯有天下一统，才能开拓万世太平。这句话，放到现在仍然适用，甚至很应景，手动艾特湾湾😂看了半个小时，场面恢宏，道具服装也更讲究了，先五星再说。
9,2020-12-04 14:48:11,很差,“这朱珠的赵姬跟街头网红一样，差评！看到就跳”——前六集评。  “张鲁一完全不符秦始皇，完全一个可爱巨婴，还跟吕不韦浪迹天涯？这朱珠的赵姬是不快要和赢子傒私奔了，还你快乐吗？不仅选角问题，台词真的尬到不行，太多大白话，毫无厚重感，配乐也缺磅礴大气，准备弃剧，9-12集真让我想吐”——前十二集评。 若是历史正剧，那请正视历史，莫不是有钱了就忘记初心了？
10,2020-12-04 14:50:51,很差,垃圾，嬴政和他大叔都是有勇有谋庙堂之上拔剑杀人，一个华阳夫人给加了一万集戏码，张鲁一35岁的脸演13岁的祖龙，你烂可以，不能烂成这样！
11,2020-12-05 01:39:05,较差,这是正剧？？我以为我在看庆余年
12,2020-12-04 20:46:24,较差,前几集觉得还挺不错的，直到青少年嬴政出场……打扰了
13,2020-12-03 12:56:16,很差,好菜吃100遍也吃不腻，一坨屎拉70分钟只会更臭。我算是理解督工喷八佰是什么心情了。演义就是演义，说自己是历史剧也可以（毕竟分历史纪录片和历史剧情片），还非得挂着羊头卖狗肉说是历史“正”剧。看了三集都看不出正在哪儿。这部剧的正，就是主角一方一定正能量，一定正面形象。自己背盟就是正义的化身，别人不守信就是背信弃义的伪君子。FOX都不敢这么编。粉丝还一个劲儿在那儿尬吹第三集赵子楚对赵胜说“杀光赵氏”。你杀光你爹你爷？他俩都是嬴姓赵氏，压根儿不可能一堆人站出来说自己嬴摎，嬴子楚。连祖宗都不要了，尴不尴尬。战国都称氏不称姓，主角自己就叫赵子楚，他儿子赵政，考古出土了《赵正书》（正通政），史记里全是对秦王室称赵的。槽点太多，你细说可以，大家就当庄襄秘史看，别再尬吹历史正剧了。
14,2020-12-04 11:59:34,较差,不行啊 进不去呀 剪辑一会很跳一会很墨迹
15,2020-12-09 03:47:37,很差,这演赵姬的演员不像太后，像天真烂漫的官宦小姐。没见过在等级森严的封建社会哪个太后的小酒窝笑的格外灿烂。
16,2020-12-04 13:07:20,较差,11集弃
17,2020-12-05 16:32:35,很差,这部剧你可以看到应该十三但是长得像四十三的祖龙，你还可以看到祖龙骂自己是生父是谁都不知道的畜生，你甚至可以看到要和吕不韦浪迹天涯朝堂上对着吕不韦星星眼的祖龙，我不知道别人怎么想，反正我是快气笑了。
18,2020-12-04 21:25:08,较差,张鲁一毁我政哥
19,2020-12-04 08:41:45,较差,从13岁开始演我就??????剧本也不行唉
0,2020-12-03 21:18:15,很差,又是迎合现在小学生吹秦始皇风气的产物，一口一个政哥哥，不恶心嘛
1,2020-12-05 02:07:09,很差,不走心不认真，和前三部天壤之别，不止是演员的问题😥说实话，不好好拍也就别糟蹋祖龙了这个后续结局，我觉得一星比二星更合适，改分了
2,2020-12-04 14:14:18,较差,张鲁一出来毁所有 一点嬴政的霸气都没有 还不如前面那个男孩 弃了……
3,2020-12-03 23:59:00,较差,嬴政你再说一遍，你要和谁浪迹天涯？
4,2020-12-04 20:33:45,较差,看不下去了，弃剧了，演赵姬的女演员是这个片子的出资方么？演的太让人出戏了，男主也感觉胜任不了这个角色，整剧台词尴尬....节奏拖沓...不懂为什么有这么高的评分？
